%# f in GHz     S1(1)1(1)              S1(1)2(1)              S2(1)1(1)              S2(1)2(1)
%#              Re         Im          Re         Im          Re         Im          Re         Im
%# Reference impedance at port 1 (mode 1):  47.7088394165039, port 2 (mode 1):  47.7088394165039 
3.150000       0.720336  0.688310     -0.011687  0.012458     -0.011686  0.012458     0.720336  0.688310
3.165000       0.729773  0.678330     -0.010088  0.011037     -0.010088  0.011037     0.729775  0.678329
3.180000       0.739049  0.668202     -0.008522  0.009592     -0.008521  0.009593     0.739050  0.668200
3.195000       0.748157  0.657934     -0.006984  0.008123     -0.006984  0.008124     0.748158  0.657932
3.210000       0.757092  0.647532     -0.005473  0.006626     -0.005473  0.006626     0.757093  0.647531
3.225000       0.765852  0.637007     -0.003988  0.005097     -0.003987  0.005098     0.765853  0.637005
3.240000       0.774436  0.626363     -0.002528  0.003534     -0.002527  0.003534     0.774436  0.626363
3.255000       0.782841  0.615612     -0.001093  0.001932     -0.001093  0.001932     0.782842  0.615611
3.270000       0.791070  0.604760     0.000313  0.000287     0.000314  0.000287     0.791070  0.604760
3.285000       0.799125  0.593813     0.001691  -0.001403     0.001691  -0.001403     0.799125  0.593813
3.300000       0.807007  0.582780     0.003035  -0.003142     0.003035  -0.003142     0.807008  0.582778
3.315000       0.814723  0.571663     0.004342  -0.004931     0.004342  -0.004931     0.814723  0.571663
3.330000       0.822274  0.560469     0.005607  -0.006774     0.005608  -0.006774     0.822274  0.560469
3.345000       0.829667  0.549201     0.006826  -0.008669     0.006827  -0.008669     0.829667  0.549201
3.360000       0.836906  0.537860     0.007993  -0.010616     0.007994  -0.010617     0.836907  0.537858
3.375000       0.843996  0.526446     0.009103  -0.012616     0.009103  -0.012616     0.843996  0.526446
3.390000       0.850942  0.514959     0.010150  -0.014664     0.010151  -0.014665     0.850942  0.514959
3.405000       0.857746  0.503398     0.011131  -0.016759     0.011131  -0.016759     0.857746  0.503398
3.420000       0.864412  0.491759     0.012040  -0.018895     0.012041  -0.018896     0.864412  0.491759
3.435000       0.870942  0.480040     0.012875  -0.021069     0.012875  -0.021070     0.870942  0.480040
3.450000       0.877336  0.468237     0.013632  -0.023275     0.013632  -0.023275     0.877336  0.468237
3.465000       0.883593  0.456346     0.014310  -0.025506     0.014310  -0.025507     0.883593  0.456346
3.480000       0.889713  0.444360     0.014908  -0.027758     0.014908  -0.027759     0.889713  0.444361
3.495000       0.895690  0.432280     0.015426  -0.030024     0.015426  -0.030025     0.895690  0.432280
3.510000       0.901523  0.420100     0.015866  -0.032299     0.015866  -0.032299     0.901523  0.420100
3.525000       0.907204  0.407816     0.016230  -0.034577     0.016230  -0.034577     0.907204  0.407816
3.540000       0.912728  0.395429     0.016521  -0.036853     0.016521  -0.036853     0.912728  0.395429
3.555000       0.918087  0.382938     0.016742  -0.039124     0.016742  -0.039124     0.918087  0.382938
3.570000       0.923275  0.370342     0.016898  -0.041386     0.016899  -0.041386     0.923276  0.370342
3.585000       0.928283  0.357648     0.016995  -0.043638     0.016995  -0.043638     0.928284  0.357646
3.600000       0.933106  0.344853     0.017035  -0.045878     0.017036  -0.045878     0.933106  0.344853
3.615000       0.937735  0.331966     0.017026  -0.048106     0.017026  -0.048106     0.937735  0.331966
3.630000       0.942163  0.318994     0.016970  -0.050324     0.016970  -0.050324     0.942163  0.318993
3.645000       0.946386  0.305941     0.016871  -0.052533     0.016872  -0.052533     0.946386  0.305941
3.660000       0.950399  0.292817     0.016734  -0.054736     0.016735  -0.054736     0.950399  0.292817
3.675000       0.954199  0.279629     0.016561  -0.056936     0.016562  -0.056936     0.954199  0.279629
3.690000       0.957784  0.266388     0.016353  -0.059138     0.016354  -0.059138     0.957785  0.266388
3.705000       0.961154  0.253103     0.016111  -0.061345     0.016111  -0.061345     0.961154  0.253103
3.720000       0.964310  0.239781     0.015834  -0.063562     0.015834  -0.063563     0.964310  0.239781
3.735000       0.967253  0.226433     0.015521  -0.065794     0.015521  -0.065794     0.967254  0.226433
3.750000       0.969988  0.213065     0.015168  -0.068043     0.015169  -0.068043     0.969989  0.213065
3.765000       0.972520  0.199684     0.014773  -0.070312     0.014774  -0.070312     0.972520  0.199684
3.780000       0.974852  0.186296     0.014331  -0.072605     0.014332  -0.072605     0.974853  0.186296
3.795000       0.976992  0.172907     0.013838  -0.074922     0.013838  -0.074923     0.976993  0.172907
3.810000       0.978946  0.159517     0.013287  -0.077265     0.013287  -0.077265     0.978947  0.159518
3.825000       0.980720  0.146130     0.012672  -0.079632     0.012673  -0.079632     0.980720  0.146130
3.840000       0.982320  0.132747     0.011990  -0.082021     0.011990  -0.082022     0.982320  0.132747
3.855000       0.983751  0.119364     0.011233  -0.084430     0.011233  -0.084431     0.983752  0.119364
3.870000       0.985019  0.105981     0.010398  -0.086855     0.010398  -0.086855     0.985020  0.105981
3.885000       0.986127  0.092595     0.009479  -0.089290     0.009479  -0.089290     0.986128  0.092595
3.900000       0.987077  0.079202     0.008474  -0.091730     0.008475  -0.091730     0.987078  0.079202
3.915000       0.987872  0.065794     0.007381  -0.094169     0.007381  -0.094169     0.987872  0.065795
3.930000       0.988509  0.052373     0.006197  -0.096599     0.006197  -0.096600     0.988510  0.052373
3.945000       0.988989  0.038930     0.004924  -0.099015     0.004924  -0.099015     0.988989  0.038930
3.960000       0.989307  0.025464     0.003561  -0.101409     0.003561  -0.101409     0.989307  0.025464
3.975000       0.989459  0.011968     0.002113  -0.103774     0.002112  -0.103775     0.989460  0.011966
3.990000       0.989440  -0.001558     0.000580  -0.106105     0.000580  -0.106106     0.989441  -0.001559
4.005000       0.989244  -0.015115     -0.001031  -0.108397     -0.001031  -0.108397     0.989245  -0.015115
4.020000       0.988864  -0.028704     -0.002716  -0.110645     -0.002716  -0.110645     0.988865  -0.028705
4.035000       0.988292  -0.042322     -0.004469  -0.112846     -0.004469  -0.112847     0.988293  -0.042324
4.050000       0.987521  -0.055968     -0.006285  -0.114998     -0.006285  -0.114999     0.987521  -0.055968
